id,name,content_type_id,codename
1,Can add permission,1,add_permission
2,Can change permission,1,change_permission
3,Can delete permission,1,delete_permission
4,Can view permission,1,view_permission
5,Can add group,2,add_group
6,Can change group,2,change_group
7,Can delete group,2,delete_group
8,Can view group,2,view_group
9,Can add user,3,add_user
10,Can change user,3,change_user
11,Can delete user,3,delete_user
12,Can view user,3,view_user
13,Can add content type,4,add_contenttype
14,Can change content type,4,change_contenttype
15,Can delete content type,4,delete_contenttype
16,Can view content type,4,view_contenttype
17,Can add log entry,5,add_logentry
18,Can change log entry,5,change_logentry
19,Can delete log entry,5,delete_logentry
20,Can view log entry,5,view_logentry
21,Can add laboratory,6,add_laboratory
22,Can change laboratory,6,change_laboratory
23,Can delete laboratory,6,delete_laboratory
24,Can view laboratory,6,view_laboratory
25,Can add lab request,7,add_labrequest
26,Can change lab request,7,change_labrequest
27,Can delete lab request,7,delete_labrequest
28,Can view lab request,7,view_labrequest
29,Can add lab request sample,8,add_labrequestsample
30,Can change lab request sample,8,change_labrequestsample
31,Can delete lab request sample,8,delete_labrequestsample
32,Can view lab request sample,8,view_labrequestsample
33,Can add reactor,9,add_reactor
34,Can change reactor,9,change_reactor
35,Can delete reactor,9,delete_reactor
36,Can view reactor,9,view_reactor
37,Can add reactor load,10,add_reactorload
38,Can change reactor load,10,change_reactorload
39,Can delete reactor load,10,delete_reactorload
40,Can view reactor load,10,view_reactorload
41,Can add reactor load samples,11,add_reactorloadsamples
42,Can change reactor load samples,11,change_reactorloadsamples
43,Can delete reactor load samples,11,delete_reactorloadsamples
44,Can view reactor load samples,11,view_reactorloadsamples
45,Can add reactor parameter,12,add_reactorparameter
46,Can change reactor parameter,12,change_reactorparameter
47,Can delete reactor parameter,12,delete_reactorparameter
48,Can view reactor parameter,12,view_reactorparameter
49,Can add reactor test,13,add_reactortest
50,Can change reactor test,13,change_reactortest
51,Can delete reactor test,13,delete_reactortest
52,Can view reactor test,13,view_reactortest
53,Can add reactor test condition,14,add_reactortestcondition
54,Can change reactor test condition,14,change_reactortestcondition
55,Can delete reactor test condition,14,delete_reactortestcondition
56,Can view reactor test condition,14,view_reactortestcondition
57,Can add reactor test condition parameter,15,add_reactortestconditionparameter
58,Can change reactor test condition parameter,15,change_reactortestconditionparameter
59,Can delete reactor test condition parameter,15,delete_reactortestconditionparameter
60,Can view reactor test condition parameter,15,view_reactortestconditionparameter
61,Can add reactor test parameter,16,add_reactortestparameter
62,Can change reactor test parameter,16,change_reactortestparameter
63,Can delete reactor test parameter,16,delete_reactortestparameter
64,Can view reactor test parameter,16,view_reactortestparameter
65,Can add test sample type,17,add_testsampletype
66,Can change test sample type,17,change_testsampletype
67,Can delete test sample type,17,delete_testsampletype
68,Can view test sample type,17,view_testsampletype
69,Can add test type,18,add_testtype
70,Can change test type,18,change_testtype
71,Can delete test type,18,delete_testtype
72,Can view test type,18,view_testtype
73,Can add sampling location,19,add_samplinglocation
74,Can change sampling location,19,change_samplinglocation
75,Can delete sampling location,19,delete_samplinglocation
76,Can view sampling location,19,view_samplinglocation
77,Can add lab request note,20,add_labrequestnote
78,Can change lab request note,20,change_labrequestnote
79,Can delete lab request note,20,delete_labrequestnote
80,Can view lab request note,20,view_labrequestnote
81,Can add lab request sample test type,21,add_labrequestsampletesttype
82,Can change lab request sample test type,21,change_labrequestsampletesttype
83,Can delete lab request sample test type,21,delete_labrequestsampletesttype
84,Can view lab request sample test type,21,view_labrequestsampletesttype
